82213017;50;102
82211904;50;131
82213020;50;230
82213018;60;130
82216010;50;88
82211905;50;88
82213906;50;260
82211906;50;162
82213036;50;75
82213031;50;116
82213022;50;83
82216015;60;434
82211903;50;64
82213028;50;89
82213911;50;111
82211045;50;250
82215017;50;151
82214024;50;194
82211035;50;376
82219034;50;260
82211039;60;450
82216021;50;140
82213034;60;248
82217002;60;228
82211016;50;64
82216020;50;103
82215012;50;390
82211913;50;56
82211914;50;49
82214036;50;162
82213047;50;167
82215035;50;186
82215036;50;162
82211039;60;450
82216013;60;397
82213013;60;374
82219058;60;324
82213044;60;347
82219037;60;164
82215014;60;327
82216333;50;269
82215029;50;240
82211043;50;248
82211031;50;201
82213041;50;264
82215029;50;240
82216004;50;151
82213012;50;61
82215008;50;124
82215019;50;211
82211040;50;256
82211025;50;156
82211901;50;231
82215003;50;103
82219041;50;173
82219215;50;127
82215037;50;317
82215027;50;170
82213906;50;260
82217008;50;81
82219020;50;211
82219044;50;172